LJ033-0060|Marina Oswald testified that at that time, quote, My heart dropped.|Marina Oswald testified that at that time, quote, My heart dropped.
LJ033-0129|Mrs. Randle saw the bag fleetingly|Mrs. Randle saw the bag fleetingly
LJ033-0130|and her first remembrance is that it was held in Oswald's right hand, quote, and it almost touched the ground as he carried it, end quote.|and her first remembrance is that it was held in Oswald's right hand, quote, and it almost touched the ground as he carried it, end quote.
LJ033-0131|Frazier's view of the bag was from the rear. He continually advised that he was not paying close attention. For example, he said, quote,|Frazier's view of the bag was from the rear. He continually advised that he was not paying close attention. For example, he said, quote,
LJ033-0132|I didn't pay too much attention the way he was walking because I was walking along there looking at the railroad cars and watching the men on the diesel switch them cars|I didn't pay too much attention the way he was walking because I was walking along there looking at the railroad cars and watching the men on the diesel switch them cars
LJ033-0133|and I didn't pay too much attention on how he carried the package at all, end quote.|and I didn't pay too much attention on how he carried the package at all, end quote.
LJ033-0134|Frazier could easily have been mistaken when he stated that Oswald held the bottom of the bag cupped in his hand with the upper end tucked into his armpit.|Frazier could easily have been mistaken when he stated that Oswald held the bottom of the bag cupped in his hand with the upper end tucked into his armpit.
LJ033-0135|Location of Bag|Location of Bag
LJ033-0136|A handmade bag of wrapping paper and tape was found in the southeast corner of the sixth floor alongside the window from which the shots were fired.|A handmade bag of wrapping paper and tape was found in the southeast corner of the sixth floor alongside the window from which the shots were fired.
LJ033-0137|It was not a standard type bag which could be obtained in a store and it was presumably made for a particular purpose.|It was not a standard type bag which could be obtained in a store and it was presumably made for a particular purpose.
LJ033-0138|It was the appropriate size to contain, in disassembled form,|It was the appropriate size to contain, in disassembled form,
LJ033-0139|Oswald's Mannlicher-Carcano rifle, serial No. C2766, which was also found on the sixth floor.|Oswald's Mannlicher-Carcano rifle, serial Number C two seven six six, which was also found on the sixth floor.
LJ033-0140|Three cartons had been placed at the window apparently to act as a gun rest and a fourth carton was placed behind those at the window.|Three cartons had been placed at the window apparently to act as a gun rest and a fourth carton was placed behind those at the window.
LJ033-0141|A person seated on the fourth carton could assemble the rifle without being seen from the rest of the sixth floor|A person seated on the fourth carton could assemble the rifle without being seen from the rest of the sixth floor
LJ033-0142|because the cartons stacked around the southeast corner would shield him.|because the cartons stacked around the southeast corner would shield him.
LJ033-0143|The presence of the bag in this corner is cogent evidence that it was used as the container for the rifle.|The presence of the bag in this corner is cogent evidence that it was used as the container for the rifle.
LJ033-0144|At the time the bag was found, Lieutenant Day of the Dallas police wrote on it, quote, Found next to the sixth floor window gun fired from.|At the time the bag was found, Lieutenant Day of the Dallas police wrote on it, quote, Found next to the sixth floor window gun fired from.
LJ033-0145|May have been used to carry gun. Lt. J. C. Day, end quote.|May have been used to carry gun. Lt. J. C. Day, end quote.
LJ033-0146|Scientific Evidence Linking Rifle and Oswald to Paper Bag|Scientific Evidence Linking Rifle and Oswald to Paper Bag
LJ033-0147|Oswald's fingerprint and palmprint found on bag.|Oswald's fingerprint and palmprint found on bag.
LJ033-0148|Using a standard chemical method involving silver nitrates|Using a standard chemical method involving silver nitrates
LJ033-0149|the FBI Laboratory developed a latent palmprint and latent fingerprint on the bag.|the FBI Laboratory developed a latent palmprint and latent fingerprint on the bag.
LJ033-0150|Sebastian F. Latona, supervisor of the FBI's Latent Fingerprint Section,|Sebastian F. Latona, supervisor of the FBI's Latent Fingerprint Section,
LJ033-0151|identified these prints as the left index fingerprint and right palmprint of Lee Harvey Oswald|identified these prints as the left index fingerprint and right palmprint of Lee Harvey Oswald
LJ033-0152|The portion of the palm which was identified was the heel of the right palm, i.e., the area near the wrist, on the little finger side.|The portion of the palm which was identified was the heel of the right palm, i.e., the area near the wrist, on the little finger side.
LJ033-0153|These prints were examined independently by Ronald G. Wittmus of the FBI,|These prints were examined independently by Ronald G. Wittmus of the FBI,
LJ033-0154|and by Arthur Mandella, a fingerprint expert with the New York City Police Department.|and by Arthur Mandella, a fingerprint expert with the New York City Police Department.
LJ033-0155|Both concluded that the prints were the right palm and left index finger of Lee Oswald. No other identifiable prints were found on the bag.|Both concluded that the prints were the right palm and left index finger of Lee Oswald. No other identifiable prints were found on the bag.
LJ033-0156|Oswald's palmprint on the bottom of the paper bag indicated, of course, that he had handled the bag.|Oswald's palmprint on the bottom of the paper bag indicated, of course, that he had handled the bag.
LJ033-0157|Furthermore, it was consistent with the bag having contained a heavy or bulky object when he handled it since a light object is usually held by the fingers.|Furthermore, it was consistent with the bag having contained a heavy or bulky object when he handled it since a light object is usually held by the fingers.
LJ033-0158|The palmprint was found on the closed end of the bag.|The palmprint was found on the closed end of the bag.
LJ033-0159|It was from Oswald's right hand, in which he carried the long package as he walked from Frazier's car to the building.|It was from Oswald's right hand, in which he carried the long package as he walked from Frazier's car to the building.
LJ033-0160|Materials used to make bag.|Materials used to make bag.
LJ033-0161|On the day of the assassination, the Dallas police obtained a sample of wrapping paper and tape|On the day of the assassination, the Dallas police obtained a sample of wrapping paper and tape
LJ033-0162|from the shipping room of the Depository and forwarded it to the FBI Laboratory in Washington.|from the shipping room of the Depository and forwarded it to the FBI Laboratory in Washington.
LJ033-0163|James C. Cadigan, a questioned-documents expert with the Bureau, compared the samples with the paper and tape in the actual bag.|James C. Cadigan, a questioned-documents expert with the Bureau, compared the samples with the paper and tape in the actual bag.
LJ033-0164|He testified, quote,|He testified, quote,
LJ033-0165|In all of the observations and physical tests that I made I found the bag and the paper sample were the same, end quote.|In all of the observations and physical tests that I made I found the bag and the paper sample were the same, end quote.
LJ033-0166|Among other tests, the paper and tape were submitted to fiber analysis and spectrographic examination.|Among other tests, the paper and tape were submitted to fiber analysis and spectrographic examination.
LJ033-0167|In addition the tape was compared to determine whether the sample tape and the tape on the bag had been taken from the tape dispensing machine at the Depository.|In addition the tape was compared to determine whether the sample tape and the tape on the bag had been taken from the tape dispensing machine at the Depository.
LJ033-0168|When asked to explain the similarity of characteristics, Cadigan stated, quote, well briefly|When asked to explain the similarity of characteristics, Cadigan stated, quote, well briefly
LJ033-0169|it would be the thickness of both the paper and the tape, the color under various lighting conditions of both the paper and the tape,|it would be the thickness of both the paper and the tape, the color under various lighting conditions of both the paper and the tape,
LJ033-0170|the width of the tape, the knurled markings on the surface of the fiber, the texture of the fiber, the letting pattern|the width of the tape, the knurled markings on the surface of the fiber, the texture of the fiber, the letting pattern
LJ033-0171|I found that the paper sack found on the sixth floor and the sample|I found that the paper sack found on the sixth floor and the sample
LJ033-0172|had the same observable characteristics both under the microscope and all the visual tests that I could conduct.|had the same observable characteristics both under the microscope and all the visual tests that I could conduct.
LJ033-0173|The papers I also found were similar in fiber composition, therefore, in addition to the visual characteristics,|The papers I also found were similar in fiber composition, therefore, in addition to the visual characteristics,
LJ033-0174|microscopic and UV (ultra violet) characteristics, end quote.|microscopic and UV (ultra violet) characteristics, end quote.
LJ033-0175|Mr. Cadigan concluded that the paper and tape from the bag were identical in all respects to the sample paper and tape|Mr. Cadigan concluded that the paper and tape from the bag were identical in all respects to the sample paper and tape
LJ033-0176|taken from the Texas School Book Depository shipping room on November 22, 1963.|taken from the Texas School Book Depository shipping room on November twenty-two, nineteen sixty-three.
LJ033-0177|On December 1, 1963, a replica bag was made from materials found on that date in the shipping room.|On December one, nineteen sixty-three, a replica bag was made from materials found on that date in the shipping room.
LJ033-0178|This was done as an investigatory aid|This was done as an investigatory aid
LJ033-0179|since the original bag had been discolored during various laboratory examinations and could not be used for valid identification by witnesses.|since the original bag had been discolored during various laboratory examinations and could not be used for valid identification by witnesses.
LJ033-0180|Cadigan found that the paper used to make this replica sack had different characteristics from the paper in the original bag.|Cadigan found that the paper used to make this replica sack had different characteristics from the paper in the original bag.
LJ033-0181|The science of paper analysis enabled him to distinguish between different rolls of paper even though they were produced by the same manufacturer.|The science of paper analysis enabled him to distinguish between different rolls of paper even though they were produced by the same manufacturer.
LJ033-0182|Since the Depository normally used approximately one roll of paper every 3 working days,|Since the Depository normally used approximately one roll of paper every three working days,
LJ033-0183|it was not surprising that the replica sack made on December 1, 1963,|it was not surprising that the replica sack made on December one, nineteen sixty-three,
LJ033-0184|had different characteristics from both the actual bag and the sample taken on November 22.|had different characteristics from both the actual bag and the sample taken on November twenty-two.
LJ033-0185|On the other hand, since two rolls could be made from the same batch of paper,|On the other hand, since two rolls could be made from the same batch of paper,
LJ033-0186|one cannot estimate when, prior to November 22, Oswald made the paper bag.|one cannot estimate when, prior to November twenty-two, Oswald made the paper bag.
LJ033-0187|However, the complete identity of characteristics between the paper and tape in the bag found on the sixth floor|However, the complete identity of characteristics between the paper and tape in the bag found on the sixth floor
LJ033-0188|and the paper and tape found in the shipping room of the Depository on November 22|and the paper and tape found in the shipping room of the Depository on November twenty-two
LJ033-0189|enabled the Commission to conclude that the bag was made from these materials.|enabled the Commission to conclude that the bag was made from these materials.
LJ033-0190|The Depository shipping department was on the first floor to which Oswald had access in the normal performance of his duties filling orders.|The Depository shipping department was on the first floor to which Oswald had access in the normal performance of his duties filling orders.
LJ033-0191|Fibers in paper bag matched fibers in blanket|Fibers in paper bag matched fibers in blanket
LJ033-0192|When Paul M. Stombaugh of the FBI Laboratory examined the paper bag,|When Paul M. Stombaugh of the FBI Laboratory examined the paper bag,
LJ033-0193|he found, on the inside, a single brown delustered viscose fiber and several light green cotton fibers.|he found, on the inside, a single brown delustered viscose fiber and several light green cotton fibers.
LJ033-0194|The blanket in which the rifle was stored was composed of brown and green cotton, viscose and woolen fibers.|The blanket in which the rifle was stored was composed of brown and green cotton, viscose and woolen fibers.
LJ033-0195|The single brown viscose fiber found in the bag matched some of the brown viscose fibers from the blanket in all observable characteristics.|The single brown viscose fiber found in the bag matched some of the brown viscose fibers from the blanket in all observable characteristics.
LJ033-0196|The green cotton fibers found in the paper bag matched some of the green cotton fibers in the blanket|The green cotton fibers found in the paper bag matched some of the green cotton fibers in the blanket
LJ033-0197|quote, in all observable microscopic characteristics, end quote.|quote, in all observable microscopic characteristics, end quote.
LJ033-0198|Despite these matches, however, Stombaugh was unable to render on opinion that the fibers which he found in the bag had probably come from the blanket,|Despite these matches, however, Stombaugh was unable to render on opinion that the fibers which he found in the bag had probably come from the blanket,
LJ033-0199|because other types of fibers present in the blanket were not found in the bag.|because other types of fibers present in the blanket were not found in the bag.
LJ033-0200|He concluded, quote,|He concluded, quote,
LJ033-0201|All I would say here is that it is possible that these fibers could have come from this blanket.|All I would say here is that it is possible that these fibers could have come from this blanket.
LJ033-0202|because this blanket is composed of brown and green woolen fibers, brown and green delustered viscose fibers, and brown and green cotton fibers.|because this blanket is composed of brown and green woolen fibers, brown and green delustered viscose fibers, and brown and green cotton fibers.
LJ033-0203|We found no brown cotton fibers, no green viscose fibers, and no woolen fibers.|We found no brown cotton fibers, no green viscose fibers, and no woolen fibers.
LJ033-0204|So if I found all of these then I would have been able to say these fibers probably had come from this blanket. But since I found so few,|So if I found all of these then I would have been able to say these fibers probably had come from this blanket. But since I found so few,
LJ033-0205|then I would say the possibility exists, these fibers could have come from this blanket, end quote.|then I would say the possibility exists, these fibers could have come from this blanket, end quote.
LJ033-0206|Stombaugh confirmed that the rifle could have picked up fibers from the blanket and transferred them to the paper bag.|Stombaugh confirmed that the rifle could have picked up fibers from the blanket and transferred them to the paper bag.
LJ033-0207|In light of the other evidence linking Lee Harvey Oswald, the blanket, and the rifle to the paper bag found on the sixth floor,|In light of the other evidence linking Lee Harvey Oswald, the blanket, and the rifle to the paper bag found on the sixth floor,
LJ033-0208|the Commission considered Stombaugh's testimony of probative value in deciding whether Oswald carried the rifle into the building in the paper bag.|the Commission considered Stombaugh's testimony of probative value in deciding whether Oswald carried the rifle into the building in the paper bag.
LJ033-0209|The preponderance of the evidence supports the conclusion that Lee Harvey Oswald (1)|The preponderance of the evidence supports the conclusion that Lee Harvey Oswald (one)
LJ033-0210|told the curtain rod story to Frazier to explain both the return to Irving on a Thursday|told the curtain rod story to Frazier to explain both the return to Irving on a Thursday
LJ033-0211|and the obvious bulk of the package which he intended to bring to work the next day;|and the obvious bulk of the package which he intended to bring to work the next day;
LJ033-0212|(2) took paper and tape from the wrapping bench of the Depository and fashioned a bag large enough to carry the disassembled rifle;|(two) took paper and tape from the wrapping bench of the Depository and fashioned a bag large enough to carry the disassembled rifle;
LJ033-0213|(3) removed the rifle from the blanket in the Paines' garage on Thursday evening;|(three) removed the rifle from the blanket in the Paines' garage on Thursday evening;
LJ033-0214|(4) carried the rifle into the Depository Building, concealed in the bag;|(four) carried the rifle into the Depository Building, concealed in the bag;
LJ034-0001|Report of the President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy.
LJ034-0002|The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy. Chapter 4. The Assassin: Part 3.|The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy. Chapter four. The Assassin: Part three.
LJ034-0003|Oswald at Window|Oswald at Window
LJ034-0004|Lee Harvey Oswald was hired on October 15, 1963, by the Texas School Book Depository as an "order filler."|Lee Harvey Oswald was hired on October fifteen, nineteen sixty-three, by the Texas School Book Depository as an "order filler."
LJ034-0005|He worked principally on the first and sixth floors of the building, gathering books listed on orders and delivering them to the shipping room on the first floor.|He worked principally on the first and sixth floors of the building, gathering books listed on orders and delivering them to the shipping room on the first floor.
LJ034-0006|He had ready access to the sixth floor, from the southeast corner window of which the shots were fired.|He had ready access to the sixth floor, from the southeast corner window of which the shots were fired.
LJ034-0007|The Commission evaluated the physical evidence found near the window after the assassination and the testimony of eyewitnesses|The Commission evaluated the physical evidence found near the window after the assassination and the testimony of eyewitnesses
LJ034-0008|in deciding whether Lee Harvey Oswald was present at this window at the time of the assassination.|in deciding whether Lee Harvey Oswald was present at this window at the time of the assassination.
LJ034-0009|Palmprints and Fingerprints on Cartons and Paper Bag|Palmprints and Fingerprints on Cartons and Paper Bag
LJ034-0010|Below the southeast corner window on the sixth floor was a large carton of books|Below the southeast corner window on the sixth floor was a large carton of books
LJ034-0011|measuring approximately 18 by 12 by 14 inches which had been moved from a stack along the south wall.|measuring approximately eighteen by twelve by fourteen inches which had been moved from a stack along the south wall.
LJ034-0012|Atop this carton was a small carton marked "Rolling Readers," measuring approximately 13 by 9 by 8 inches.|Atop this carton was a small carton marked "Rolling Readers," measuring approximately thirteen by nine by eight inches.
LJ034-0013|In front of this small carton and resting partially on the windowsill was another small "Rolling Readers" carton.|In front of this small carton and resting partially on the windowsill was another small "Rolling Readers" carton.
LJ034-0014|These two small cartons had been moved from a stack about three aisles away.|These two small cartons had been moved from a stack about three aisles away.
LJ034-0015|The boxes in the window appeared to have been arranged as a convenient gun rest.|The boxes in the window appeared to have been arranged as a convenient gun rest.
LJ034-0016|Behind these boxes was another carton placed on the floor on which a man sitting|Behind these boxes was another carton placed on the floor on which a man sitting
LJ034-0017|could look southwesterly down Elm Street over the top of the "Rolling Readers" cartons.|could look southwesterly down Elm Street over the top of the "Rolling Readers" cartons.
LJ034-0018|Next to these cartons was the handmade paper bag, previously discussed,|Next to these cartons was the handmade paper bag, previously discussed,
LJ034-0019|on which appeared the print of the left index finger and right palm of Lee Harvey Oswald.|on which appeared the print of the left index finger and right palm of Lee Harvey Oswald.
LJ034-0020|The cartons were forwarded to the FBI in Washington.|The cartons were forwarded to the FBI in Washington.
LJ034-0021|Sebastian F. Latona, supervisor of the Latent Fingerprint Section,|Sebastian F. Latona, supervisor of the Latent Fingerprint Section,
LJ034-0022|testified that 20 identifiable fingerprints and 8 palmprints were developed on these cartons.|testified that twenty identifiable fingerprints and eight palmprints were developed on these cartons.
LJ034-0023|The carton on the windowsill and the large carton below the window contained no prints which could be identified as being those of Lee Harvey Oswald.|The carton on the windowsill and the large carton below the window contained no prints which could be identified as being those of Lee Harvey Oswald.
LJ034-0024|The other "Rolling Readers" carton, however, contained a palmprint and a fingerprint which were identified by Latona|The other "Rolling Readers" carton, however, contained a palmprint and a fingerprint which were identified by Latona
LJ034-0025|as being the left palmprint and right index fingerprint of Lee Harvey Oswald.|as being the left palmprint and right index fingerprint of Lee Harvey Oswald.
LJ034-0026|The Commission has considered the possibility that the cartons might have been moved in connection with the work that was being performed on the sixth floor on November 22.|The Commission has considered the possibility that the cartons might have been moved in connection with the work that was being performed on the sixth floor on November twenty-two.
LJ034-0027|Depository employees were laying a new floor at the west end and transferring books from the west to the east end of the building.|Depository employees were laying a new floor at the west end and transferring books from the west to the east end of the building.
LJ034-0028|The "Rolling Readers" cartons, however, had not been moved by the floor layers and had apparently been taken to the window from their regular position for some particular purpose.|The "Rolling Readers" cartons, however, had not been moved by the floor layers and had apparently been taken to the window from their regular position for some particular purpose.
LJ034-0029|The "Rolling Readers" boxes contained, instead of books, light blocks used as reading aids.|The "Rolling Readers" boxes contained, instead of books, light blocks used as reading aids.
LJ034-0030|They could be easily adjusted and were still solid enough to serve as a gun rest.|They could be easily adjusted and were still solid enough to serve as a gun rest.
LJ034-0031|The box on the floor, behind the three near the window,|The box on the floor, behind the three near the window,
LJ034-0032|had been one of these moved by the floor layers from the west wall to near the east side of the building in preparation for the laying of the floor.|had been one of these moved by the floor layers from the west wall to near the east side of the building in preparation for the laying of the floor.
LJ034-0033|During the afternoon of November 22,|During the afternoon of November twenty-two,
LJ034-0034|Lieutenant Day of the Dallas police dusted this carton with powder and developed a palmprint on the top edge of the carton on the side nearest the window.|Lieutenant Day of the Dallas police dusted this carton with powder and developed a palmprint on the top edge of the carton on the side nearest the window.
